,target,acceleration__standard_deviation,acceleration__number_crossing_m__m_1,"acceleration__fft_coefficient__attr_""angle""__coeff_1",acceleration__fourier_entropy__bins_5,"acceleration__linear_trend__attr_""slope""",acceleration__fourier_entropy__bins_2,acceleration__range_count__max_0__min_-1000000000000.0,acceleration__autocorrelation__lag_5,acceleration__index_mass_quantile__q_0.4,acceleration__mean_n_absolute_max__number_of_maxima_7
0,1,0.128012881,0,89.05743161,0.194134837,0.001144688,0.166683464,32,0.663126323,0.565,0.395714286
1,1,0.142896783,0,107.9839943,0.263667238,0.001789178,0.122956999,149,0.571213596,0.355704698,1.159142857
2,1,0.162426334,0,-47.32693779,0.216414089,-0.004668362,0.108471339,13,0.779048921,0.174418605,0.450571429
3,1,0.108201973,0,-92.26292576,0.234298178,-0.000192267,0.109452358,35,0.630706045,0.593023256,0.247285714
4,1,0.438841986,0,88.72972411,0.183785237,0.005522599,0.06719688,47,0.875465377,0.310126582,1.181285714
5,1,0.183472623,0,76.4502508,0.17883136,0.004897085,0.089578027,0,0.891958527,0.672727273,0.620571429
6,1,0.320210628,0,106.5445831,0.141440924,0.005763149,0.070810555,39,0.750988352,0.583892617,0.736142857
7,1,0.361257844,0,111.6609122,0.156798419,0.007311039,0.078515764,124,0.86016753,0.244274809,1.197857143
8,1,0.586449786,0,71.34147089,0.125386776,0.003896343,0.109452358,116,0.788569577,0.346820809,1.725285714
9,1,0.471351268,2,74.4310668,0.18562471,0.005162329,0.067887239,75,0.823776016,0.314102564,1.285714286
10,1,0.249039999,0,77.39274901,0.104732439,0.007944726,0.104732439,5,0.704819407,0.7,0.741714286
11,1,0.143542966,0,-64.71889043,0.269293796,-0.001093007,0.170529856,19,0.510810959,0.25,0.379
12,1,0.285455306,0,34.88363303,0.419555892,0.000434849,0.264052052,16,0.539105586,0.396226415,0.604142857
13,1,0.134584558,0,-121.4945738,0.131197811,-0.000444378,0.131197811,60,0.679461606,0.485294118,0.296857143
14,1,0.29768945,0,124.8246691,0.162764794,0.00662368,0.081510411,125,0.819100513,0.232,1.153714286
15,1,0.06866545,0,-136.7008919,0.52491915,-0.000439588,0.283547893,33,0.187862141,0.462809917,0.214285714
16,1,0.111299847,0,-118.4194081,0.496723798,-0.001240678,0.239217094,49,0.162854484,0.528455285,0.329857143
17,1,0.104422185,0,118.9443065,0.170467354,0.000327418,0.079982526,73,0.508240233,0.504559271,0.324285714
18,1,0.351503005,0,73.50993132,0.090876121,0.009964208,0.090876121,18,0.906364939,0.75,0.945285714
19,1,0.159286548,0,-141.3218623,0.314123026,-0.001657571,0.116906849,17,0.552484123,0.367088608,0.390285714
20,1,0.361086618,0,83.09574703,0.201113916,0.004890206,0.06719688,69,0.866625692,0.265822785,0.928571429
21,1,0.154497574,0,128.2529733,0.327055377,0.002395585,0.152005311,113,0.297416772,0.353982301,1.164571429
22,1,0.095203102,0,-131.6934672,0.294891749,-0.000390919,0.145215936,85,0.364312447,0.423236515,0.258142857
23,1,0.118629121,0,-29.99890536,0.188486741,1.62e-05,0.088319782,38,0.769287945,0.508849558,0.335428571
24,1,0.134206815,0,81.07697049,0.343031345,0.000904403,0.134742168,24,0.461088792,0.515151515,0.423142857
25,1,0.125703816,0,-17.49442261,0.173532589,-5.8e-05,0.110453047,57,0.847687014,0.341176471,0.346428571
26,1,0.168601933,0,-112.924314,0.26449144,-0.004725517,0.132691421,23,0.448254056,0.313432836,0.335285714
27,1,0.123268386,0,-100.9958663,0.615034264,-0.005732623,0.139060798,32,0.477134747,0.428571429,0.258142857
28,1,0.178957547,0,-45.04621662,0.23773601,0.000734046,0.079487003,29,0.686988616,0.421875,0.472428571
29,1,0.138760702,0,-66.49546558,0.214196563,0.000486966,0.071584834,17,0.761225997,0.376712329,0.450714286
30,2,1.4026267,6,87.90169242,0.288342328,0.00318909,0.165443496,92,0.322273345,0.569306931,4.055
31,2,0.763825045,6,112.7376621,0.194018199,0.000474071,0.125130164,171,0.271548819,0.353211009,2.456285714
32,2,2.349771405,25,79.14369437,0.125255702,7.37e-05,0.045394778,230,0.491325941,0.368831169,4.186857143
33,2,1.839392261,10,-9.178033628,0.090728994,0.000211902,0.079982526,118,0.741455715,0.474820144,4.010857143
34,2,1.130072797,10,14.77912051,0.13600217,0.000219966,0.079982526,82,0.450954853,0.412811388,2.565714286
35,2,1.136466582,12,14.49620018,0.13600217,0.000339783,0.079982526,85,0.479614318,0.436090226,2.609714286
36,2,1.060456737,10,15.97071628,0.125255702,0.000148365,0.079982526,85,0.476558655,0.406626506,2.626142857
37,2,1.275189965,4,179.252497,0.147843978,-0.005798587,0.128318706,78,0.833217512,0.432624113,2.258142857
38,2,1.434978324,5,169.0318434,0.142984545,-0.003902342,0.071584834,79,0.85653828,0.37414966,2.450428571
39,2,1.393500332,2,-28.54570138,0.370478512,0.018175398,0.210283412,34,0.513010236,0.369863014,3.044142857
40,2,2.623609751,6,8.840330563,0.198821578,0.00226406,0.099623389,51,0.400974717,0.4375,4.560428571
41,2,2.11446085,6,-7.649268727,0.273573794,0.010111289,0.101264818,48,0.43492373,0.446808511,4.192285714
42,2,1.965125428,17,4.822395922,0.090728994,0.000559288,0.045394778,174,0.600914255,0.426282051,3.818714286
43,2,1.029924032,8,87.00537623,0.330065644,0.0049048,0.161842734,88,0.409839033,0.61722488,3.483571429
44,2,1.217668967,4,50.21705149,0.436281338,0.002580717,0.189762327,51,0.343553623,0.529761905,4.000142857
45,2,1.342144635,5,142.5973333,0.193404714,-0.000156715,0.070810555,80,0.806588886,0.391891892,1.978142857
46,2,2.127388867,10,-26.60625464,0.096986095,1.01e-05,0.085336563,130,0.687156931,0.487288136,3.857285714
47,2,1.072652157,10,37.50397226,0.125255702,0.000587407,0.045394778,84,0.431348663,0.372759857,2.791285714
48,2,1.320072833,4,-52.7490398,0.17883136,-0.000837531,0.154076104,77,0.545490637,0.441441441,2.703428571
49,2,1.714784957,6,26.1198591,0.202086339,-0.000790859,0.173205207,52,0.389654832,0.336842105,3.318571429
50,2,1.531490813,5,175.5378992,0.153078103,-0.009152905,0.132691421,73,0.808320164,0.365671642,2.648285714
51,2,1.019150072,6,6.37371509,0.53050963,-0.004150856,0.295439192,12,-0.269376621,0.333333333,1.856857143
52,2,1.903485188,6,-82.66123626,0.239692796,-0.004065325,0.152005311,76,0.258413945,0.464285714,4.390142857
53,2,0.568970904,2,-164.5213543,0.417983603,0.000297149,0.220570036,57,0.143961978,0.368932039,1.505428571
54,2,0.524214443,4,-44.97237531,0.470235962,-0.009267062,0.295439192,6,-0.542797582,0.288888889,1.412142857
55,2,1.653545161,8,83.18918047,0.216526906,0.004549392,0.139060798,121,0.233094576,0.578947368,4.313142857
56,2,2.081287549,6,-33.64691653,0.208981747,0.008413343,0.104732439,45,0.432897043,0.455555556,3.879
57,2,1.315007258,8,119.8487324,0.283936267,0.008106622,0.142505867,58,0.428177192,0.463414634,2.862714286
58,2,1.840392504,4,-172.5803793,0.169249652,-0.019211152,0.084766076,64,0.817778379,0.403361345,3.022142857
59,2,0.651186492,6,136.8141175,0.21561699,0.000254107,0.110453047,189,0.287108617,0.330935252,2.428714286
60,3,1.407507652,2,107.0057886,0.333011096,0.024711991,0.28140184,18,0.644834414,0.347222222,2.983571429
61,3,0.394098204,2,71.16619087,0.226021037,0.001558959,0.105640482,35,0.69092909,0.4,1.022
62,3,0.98851183,2,117.1026132,0.291139839,0.044943542,0.146144746,21,0.874418455,0.440677966,1.351571429
63,3,0.589797827,2,94.97653953,0.256864653,0.005320563,0.201003011,29,0.832009922,0.405172414,1.274857143
64,3,1.348755314,6,46.39940281,0.523451802,0.008362927,0.301500641,74,0.481119272,0.503759398,4.522
65,3,0.372780979,2,86.69191712,0.280179081,1.02e-05,0.163982143,34,0.712307284,0.435810811,1.670428571
66,3,0.426862784,2,79.14478736,0.348543187,1.08e-05,0.163982143,47,0.671973519,0.420233463,1.923
67,3,1.511453009,2,35.16264562,0.267753987,0.011616725,0.208899757,69,0.779186495,0.540540541,3.615428571
68,3,0.464700549,2,86.55806235,0.234844321,0.003181759,0.184907399,30,0.83075889,0.374045802,1.0
69,3,0.519155282,2,157.2765471,0.318123847,0.00014749,0.184907399,33,0.620942029,0.392694064,2.143
70,3,0.49056217,0,81.61653736,0.211888639,0.002334489,0.167944148,36,0.854919866,0.342281879,1.109857143
71,3,0.424477499,2,-136.3112524,0.365710852,0.000165858,0.175975125,24,0.666430053,0.23655914,1.571428571
72,3,1.018257788,2,77.15014863,0.298758058,0.051445455,0.149994924,30,0.922218994,0.464285714,1.472857143
73,3,1.598590118,2,25.02566563,0.297585518,0.015259731,0.230323541,61,0.811943493,0.567010309,3.785571429
74,3,0.376688877,0,18.60615874,0.443306691,0.011008878,0.278769372,38,0.112343313,0.489795918,0.747142857
75,3,1.3966455,4,71.387017,0.440912545,0.009657635,0.247301061,67,0.690572114,0.445205479,4.291142857
76,3,0.535120497,0,89.91258022,0.233172602,0.019879563,0.116906849,36,0.927339328,0.512820513,0.851857143
77,3,1.371886553,2,32.12230519,0.265158373,0.013552777,0.167944148,64,0.860361319,0.505050505,3.236
78,3,0.506226874,0,84.56214556,0.124250837,0.021187677,0.124250837,37,0.951945412,0.630136986,0.950571429
79,3,1.617773861,2,63.08859933,0.394397691,0.095908097,0.198515243,25,0.725968873,0.41025641,2.637428571
80,3,0.687697422,2,-4.786588616,0.60042761,0.005416403,0.292508468,15,0.405567094,0.661764706,1.61
81,3,1.724567256,2,54.30995939,0.302454927,0.022293436,0.233791659,52,0.791434554,0.478723404,4.142857143
82,3,0.927720199,1,55.80862915,0.315396287,0.0439388,0.15841057,33,0.848258662,0.471698113,1.269428571
83,3,1.412946032,2,80.79313345,0.350058374,-0.000288502,0.175975125,72,0.601967402,0.752688172,3.516714286
84,3,1.633804597,2,4.656134138,0.247750827,0.000593967,0.169658227,47,0.528274769,0.503401361,4.664857143
85,3,0.414074776,0,96.61649702,0.20963414,0.002421081,0.166267866,35,0.844105898,0.324503311,0.890142857
86,3,0.955773878,2,101.9765333,0.423185718,0.006805431,0.244930027,68,0.648594072,0.460674157,2.115428571
87,3,0.46999898,0,86.73225558,0.247750827,0.0194367,0.124250837,33,0.945131099,0.597222222,0.758285714
88,3,0.468339945,0,76.81388786,0.216559894,0.002116735,0.171411444,28,0.791015595,0.333333333,1.093428571
89,3,1.539259855,2,31.39216346,0.336253156,0.010178908,0.211687545,59,0.734259077,0.559633028,3.664571429
90,4,0.92741094,4,-58.05048775,0.278445137,-0.005457021,0.176920351,52,0.767644473,0.391304348,2.043714286
91,4,1.886410797,4,-20.71351217,0.284878121,-0.001219691,0.18081639,37,0.658622134,0.548148148,4.714285714
92,4,0.014656395,0,163.6363636,0.867563228,0.003109091,0.636514168,11,-0.185185185,0.454545455,0.241857143
93,4,1.983270568,4,-22.4854865,0.33158441,-0.001334661,0.154076104,23,0.671825049,0.54954955,4.774571429
94,4,0.505934254,2,17.29411959,0.506897968,0.000294229,0.309477287,28,0.537023202,0.360465116,2.214285714
95,4,1.934055421,2,-60.170962,0.490608869,-0.026925591,0.314492201,47,0.516904854,0.373493976,4.565857143
96,4,0.42442285,0,-117.8193163,0.266792298,-0.000797997,0.147086752,214,0.825812453,0.514767932,1.708857143
97,4,1.542978246,2,-104.4909258,0.282600107,-0.026287328,0.241088313,38,0.819860184,0.633333333,3.516285714
98,4,1.125839355,2,-70.90411656,0.298758058,-0.058382707,0.149994924,33,0.841491348,0.375,1.483857143
99,4,0.557950877,2,-72.44854861,0.267281427,-0.000797058,0.135793959,82,0.695343658,0.360406091,1.664857143
100,4,1.65491836,2,-101.1957684,0.302783938,-0.031102034,0.191444082,44,0.814627543,0.634146341,4.313428571
101,4,2.853159125,3,-32.76395918,0.458208238,-0.01210284,0.257318641,20,0.661865738,0.592592593,4.730714286
102,4,1.236067615,2,10.84669207,0.585783129,-0.016380543,0.35762716,40,0.263457474,0.31372549,2.791285714
103,4,0.823046302,2,-116.8071708,0.492411169,-0.00807203,0.28140184,46,0.53371024,0.486111111,1.632
104,4,1.046644694,4,159.938406,0.470900128,-0.009069263,0.15841057,23,0.427418515,0.679245283,1.829714286
105,4,2.69753521,4,41.42684904,0.258640932,0.006037886,0.219032522,26,0.6763096,0.352941176,4.829714286
106,4,0.565415202,2,-51.39834219,0.258640932,-0.016720292,0.129740695,28,0.870846371,0.235294118,1.258142857
107,4,0.690674917,2,-106.5191186,0.291139839,-0.026501344,0.146144746,26,0.785795946,0.322033898,1.489
108,4,0.67869645,2,115.4300628,0.26449144,0.014109905,0.132691421,37,0.746244816,0.636363636,1.296857143
109,4,0.053350383,0,25.97909141,0.245901454,0.000169867,0.13822795,309,0.825340581,0.375404531,0.385
110,4,1.46600318,2,-93.01501564,0.419826662,-0.013397569,0.257318641,45,0.733755156,0.594594595,4.170142857
111,4,0.931554039,2,-149.9732822,0.513816538,-0.012031348,0.219032522,38,0.409217816,0.579710145,2.104428571
112,4,0.548981492,2,158.5236212,0.250124772,-0.00183719,0.144300035,46,0.713620886,0.710743802,1.362857143
113,4,0.717396741,2,-57.23903549,0.283936267,-0.025614754,0.142505867,38,0.799560164,0.245901639,1.577
114,4,0.790414234,2,-94.00697647,0.356339666,-0.003228958,0.154076104,68,0.678879112,0.432432432,1.780428571
115,4,1.665056252,2,-37.25073843,0.406173244,-0.017031882,0.214559155,63,0.568014938,0.283018868,4.197857143
116,4,1.639519363,2,-62.61445444,0.503697083,-0.015908304,0.267567913,59,0.486832929,0.371428571,4.384428571
117,4,0.556811058,2,166.2986888,0.482110283,-0.001777897,0.253036975,68,0.645748728,0.635294118,1.379142857
118,4,1.272407403,2,-105.1700169,0.26038568,-0.014018165,0.203560906,55,0.85549441,0.614035088,3.384571429
119,4,0.52799283,2,-155.5671805,0.342655587,-0.000472656,0.186494924,144,0.56414987,0.589595376,1.802285714
120,5,0.345398603,0,-80.39862165,0.167944148,-0.022251837,0.167944148,7,0.845376654,0.204081633,0.906714286
121,5,0.210039267,0,38.3365826,0.169249652,0.004146849,0.146144746,96,0.642699405,0.355932203,0.456285714
122,5,0.278224319,0,-108.6089522,0.324508387,-0.012564466,0.163023629,0,0.804965742,0.32,0.851714286
123,5,0.05444764,0,-154.8964383,0.700061268,-0.000102554,0.257318641,30,-0.050586185,0.430769231,0.203285714
124,5,0.152228748,0,-33.65040275,0.847049069,-0.00255629,0.35762716,9,0.005856681,0.31372549,0.329571429
125,5,0.086813894,0,41.71322822,0.890031064,0.000301308,0.402941358,2,-0.27308741,0.464788732,0.269142857
126,5,0.137721843,0,27.29629448,0.749962568,0.002263934,0.31793678,16,0.079452913,0.508196721,0.324285714
127,5,0.259674856,0,-101.3474703,0.334221146,-0.01535698,0.167944148,3,0.766003731,0.270833333,0.774714286
128,5,0.362786743,0,-22.7327143,0.373479381,0.000944674,0.173205207,53,0.367138955,0.64893617,0.879142857
129,5,0.046307671,0,-120.5708478,0.452385807,-0.000278604,0.214559155,49,0.190084632,0.430167598,0.131714286
130,5,0.034974919,0,154.7639938,0.580685571,-1.55e-05,0.151328607,20,-0.017912478,0.549707602,0.082428571
131,5,0.155923591,0,37.18497622,0.513659382,5.78e-05,0.300882104,21,0.07691318,0.333333333,0.615428571
132,5,0.080920928,0,5.747143141,0.528182522,0.001080882,0.276190922,4,0.392943425,0.48,0.231
133,5,0.277172333,0,143.2028423,0.589280064,0.009730324,0.35762716,20,0.253051845,0.32,0.565714286
134,5,0.262024,0,-86.95635344,0.324508387,-0.015246606,0.163023629,1,0.863080483,0.235294118,0.703142857
135,5,0.065490613,0,80.79626477,0.438174199,0.000581942,0.193738481,11,0.166358096,0.590163934,0.214142857
136,5,0.715051678,4,-105.1725488,0.775194874,-0.005836281,0.537544412,18,-0.162023633,0.47826087,1.796857143
137,5,0.316045648,0,160.7987263,0.752916809,0.012058366,0.387212375,23,0.013200136,0.177777778,0.637428571
138,5,0.40925746,2,-45.40117101,0.66563128,-0.000660555,0.266384463,14,0.13559621,0.320512821,1.274571429
139,5,0.352580806,0,145.6768609,0.661476977,0.015474694,0.278769372,24,0.461097292,0.183673469,0.719714286
140,5,0.169837712,2,-74.97302299,0.589844821,-9.66e-05,0.261764483,4,0.277066849,0.346938776,1.098714286
141,5,0.335779884,2,-116.9264461,0.71430083,9.35e-06,0.43815932,22,-0.277001521,0.655172414,0.884428571
142,5,0.321369452,2,-50.28788553,0.661476977,-0.006937551,0.278769372,4,0.0319271,0.244897959,0.988857143
143,5,0.121767919,0,-8.238584805,0.468948069,0.000101151,0.230323541,19,0.576347882,0.384615385,0.456142857
144,5,0.106783179,0,1.140389884,0.309949766,-6.99e-05,0.187462011,15,0.458954722,0.353488372,0.423285714
145,5,0.304765655,0,-109.7797888,0.314244745,-0.001305961,0.198515243,79,0.285035623,0.703389831,0.774857143
146,5,0.274491804,0,9.137186811,0.679737994,0.001248092,0.27721593,80,0.278239412,0.624,0.950571429
147,5,0.273625478,0,71.20527724,0.154913925,0.006050477,0.077570038,76,0.820439789,0.424242424,0.428714286
